id;num_cdp;fecha;id_proceso;ue;requerimiento;descripcion;unidad_solicitante;moneda;total_moneda_compra;paridad; monto_total_impto_incluido ; st ;catalogo_id;tipo_gasto1;iniciativa_id;pp;tipo_gasto2;cargado_cgu;comprometido_cgu;total_compromiso;num_compromiso;observaciones;validez;denominacion
1;1;09-01-2025;;14;441935;ARRIENDO VEHICULO PRIMER JUZGADO DE LETRAS DE COYHAIQUE;COYHAIQUE;CLP;204.999,00;1;204.999;22;2209003000;GO;;100;TRANSITORIO;;;;;;ANO 2025;ARRIENDO DE VEHICULOS
2;2;14-01-2025;;14;7446872;CONSUMO DE AGUA PURIFICADA DE TRIBUNALES DE LA JURISDICCION;COYHAIQUE;UF;7,2471;38.426,57;278.481;22;2201001001;GO;;100;TRANSITORIO;;;;;;ANO 2025;ALIM. AGUA PURIFICADA
3;3;22-01-2025;;14;7454654;FLETE TRASLADO DE BIENES MUEBLES DESDE CHILE CHICO A COYHAIQUE;COYHAIQUE;CLP;487.900,00;1;487.900;22;2208007007;GO;;100;TRANSITORIO;;;;;;ANO 2025;OTROS PASAJES, FLETES Y BODEGAJES
4;4;29-01-2025;;14;7460043;MUDANZA DE FUNCIONARIO FABIAN SUAZO - LOS ANDES A CHILE CHICO;COYHAIQUE;CLP;4.988.000,00;1;4.988.000;22;2208007006;GO;;100;TRANSITORIO;;;;;;ANO 2025;TRASLADO DE ENSERES POR NOMBRAMIENTO
5;5;03-02-2025;;14;7464972;SERVICIO DE TRASLADO DE MUEBLES EN DESUSO DESDE EL TOP Y GARANTIA DE COYHAIQUE HACIA LA BODEGA UBICADA EN CALLE OGANA;COYHAIQUE;CLP;248.710,00;1;248.710;22;2208007007;GO;;100;TRANSITORIO;;;;;;ANO 2025;OTROS PASAJES, FLETES Y BODEGAJES
6;6;10-02-2025;;14;7476172;COMPRA COMBUSTIBLE CAMIONETA CAPJ;COYHAIQUE;CLP;1.000.000,00;1;1.000.000;22;2203001002;GO;;100;TRANSITORIO;;;;;;ANO 2025;COMB. VEHICULO PRESIDENTE SUPREMO / MINISTRO / FISCAL / DIRECTOR CAPJ
7;7;08-02-2025;;14;7476525;ARRIENDO DE VEHICULO PARA EL 1ER JUZGADO DE LETRAS;COYHAIQUE;CLP;199.644,00;1;199.644;22;2209003000;GO;;100;TRANSITORIO;;;;;;ANO 2025;ARRIENDO DE VEH÷CULOS
8;8;03-03-2025;;14;7500462;PASAJE SR. GERARDO ROJAS DONAT POR CESE DE FUNCIONES;COYHAIQUE;CLP;305.944,00;1;305.944;22;2208007006;GO;;100;TRANSITORIO;;;305.944;6417;Solicitar devolucion al NC;ANO 2025;TRASLADO DE ENSERES POR NOMBRAMIENTO
9;9;04-03-2025;;14;7501865;COMPRA DE COMBUSTIBLE PARA GENERADOR DE LA I.C.A.;COYHAIQUE;CLP;144.085,00;1;144.085;22;2203002000;GO;;100;TRANSITORIO;;;144.085;6393;;ANO 2025;PARA MAQUINARIAS, EQUIPOS DE PRODUCCI‡N, TRACCI‡N Y ELEVACI‡N
10;10;06-03-2025;;14;7504455;COMPRA PASAJE ACADEMIA JUDICIAL DE SR. RODRIGO LOYOLA;COYHAIQUE;CLP;110.144,00;1;110.144;22;2208007002;GO;;100;TRANSITORIO;;;110.144;6418;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
11;11;10-03-2025;;14;7507329;COMPRA PASAJE ACADEMIA JUDICIAL DE SR. GUILLERMO QUILALEO;COYHAIQUE;CLP;159.982,00;1;159.982;22;2208007002;GO;;100;TRANSITORIO;;;159.982;6390;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
12;12;10-03-2025;;14;7507316;ARRIENDO DE VEHICULO PARA FISCALIA JUDICIAL;COYHAIQUE;CLP;476.000,00;1;476.000;22;2209003000;GO;;100;TRANSITORIO;;;;;;ANO 2025;ARRIENDO DE VEH÷CULOS
13;13;11-03-2025;;14;7508448;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SR. ANTONIO VILLARROEL;COYHAIQUE;CLP;222.982,00;1;222.982;22;2208007002;GO;;100;TRANSITORIO;;;222.982;6419;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
14;14;11-03-2025;;14;7510045;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. XIMENA RAMIS;COYHAIQUE;CLP;179.782,00;1;179.782;22;2208007002;GO;;100;TRANSITORIO;;;179.782;6421;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
15;15;11-03-2025;;14;7510068;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. MIRIAM MU•OZ;COYHAIQUE;CLP;276.432,00;1;276.432;22;2208007002;GO;;100;TRANSITORIO;;;276.432;6422;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
16;16;12-03-2025;;14;7510101;COMPRA DE MATERIALES DE OFICINA PARA STOCK EN BODEGA CAPJ.;COYHAIQUE;CLP;2.330.590,00;1;2.330.590;22;2204001000;GO;;100;TRANSITORIO;;;;;;ANO 2025;MATERIALES DE OFICINA
17;17;12-03-2025;;14;7510867;PASAJE AEREO COMISION DE SERVICIO SR. CRISTIAN GOMEZ CUMIN;COYHAIQUE;CLP;153.682,00;1;153.682;22;2208007008;GO;;100;TRANSITORIO;;;;;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N NORMALES AêREOS
18;18;12-03-2024;;14;7511698;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SR. ALVARO GUTIERREZ;COYHAIQUE;CLP;177.191,00;1;177.191;22;2208007002;GO;;100;TRANSITORIO;;;;;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
19;19;13-03-2025;;14;7512444;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. YENIFER FIGUEROA;COYHAIQUE;CLP;179.782,00;1;179.782;22;2208007002;GO;;100;TRANSITORIO;;;;;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
20;20;13-03-2025;;14;7512624;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. MARIA ISABEL ZAPATA.;COYHAIQUE;CLP;215.523,00;1;215.523;22;2208007002;GO;;100;TRANSITORIO;;;;;Solicitar devolucion al NC;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
21;21;13-03-2025;;14;7512484;COMPRA DE MATERIALES DE ASEO PARA STOCK EN BODEGA CAPJ.;COYHAIQUE;CLP;1.798.470,00;1;1.798.470;22;2204001000;GO;;100;TRANSITORIO;;;;;;ANO 2025;MATERIALES DE OFICINA
22;22;19-03-2025;;14;7519739;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. MILKA SOZA;COYHAIQUE;CLP;250.882,00;1;250.882;22;2208007002;GO;;100;TRANSITORIO;;;;;;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
23;23;19-03-2025;;14;7519737;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. SANDRA ALTAMIRANO;COYHAIQUE;CLP;215.955,00;1;215.955;22;2208007002;GO;;100;TRANSITORIO;;;;;;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
24;24;20-03-2025;;14;7520662;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SR. MARCOS ROBLES;COYHAIQUE;CLP;194.182,00;1;194.182;22;2208007002;GO;;100;TRANSITORIO;;;;;;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
25;25;20-03-2025;;14;7520658;COMPRA DE PASAJE AEREO, CURSO ACADEMIA JUDICIAL SRA. DAFNE JARA;COYHAIQUE;CLP;234.682,00;1;234.682;22;2208007002;GO;;100;TRANSITORIO;;;;;;ANO 2025;PASAJES Y MOVILIZACI‡N CURS. ACAD. JUD
26;26;20-03-2025;;14;7516978;COMPRA DE AUDIFONOS SOLICITADOS POR LA UNIDAD DE INFORMATICA;COYHAIQUE;CLP;155.295,00;1;155.295;22;2204009000;GO;;100;TRANSITORIO;;;;;;ANO 2025;INSUMOS, REPUESTOS Y ACCESORIOS COMPUTACIONALES
